Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,22032021,770196591,0001836
Trade Date <22-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,340,DBL,EQ,255533,60607,23.72
20,341,DBSTOCKBRO,EQ,8559,3227,37.70
20,342,DCAL,EQ,376636,166573,44.23
20,343,DCBBANK,EQ,1262228,536439,42.50
20,344,DCM,EQ,31190,16267,52.15
20,345,DCMSHRIRAM,EQ,51961,23289,44.82
20,346,DCW,EQ,2044461,1111526,54.37
20,347,DECCANCE,EQ,41588,14236,34.23
20,348,DEEPAKFERT,EQ,811260,261180,32.19
20,349,DEEPAKNTR,EQ,698562,102275,14.64
20,350,DEEPENR,EQ,24093,16294,67.63
20,351,DELTACORP,EQ,4102046,857544,20.91
20,352,DELTAMAGNT,EQ,10599,4804,45.33
20,353,DEN,EQ,321114,221264,68.91
20,354,DENORA,EQ,2835,1577,55.63
20,355,DFMFOODS,EQ,29602,16190,54.69
20,356,DGCONTENT,EQ,19908,17644,88.63
20,357,DHAMPURSUG,EQ,577488,141009,24.42
20,358,DHANBANK,EQ,1921922,1372241,71.40
20,359,DHANI,EQ,1507666,685362,45.46
20,360,DHANILOANS,N1,160,160,100.00
20,361,DHANILOANS,N2,80,80,100.00
20,362,DHANILOANS,N3,543,543,100.00
20,363,DHANILOANS,N5,35,35,100.00
20,364,DHANILOANS,N6,11,11,100.00
20,365,DHANILOANS,N8,44,44,100.00
20,366,DHANILOANS,NC,20,20,100.00
20,367,DHANILOANS,NF,50,50,100.00
20,368,DHANIPP,E1,134077,106774,79.64
20,369,DHANUKA,EQ,30270,17220,56.89
20,370,DHARSUGAR,EQ,13517,10766,79.65
20,371,DHFL,EQ,1552788,933160,60.10
20,372,DHFL,N4,1,1,100.00
20,373,DHFL,N6,2050,2050,100.00
20,374,DHFL,NA,17,17,100.00
20,375,DHFL,NC,1483,1083,73.03
20,376,DHFL,NF,190,149,78.42
20,377,DHFL,NN,18,18,100.00
20,378,DHFL,NP,1428,996,69.75
20,379,DHFL,NQ,167,167,100.00
20,380,DHUNINV,EQ,2029,1102,54.31
20,381,DIAMONDYD,EQ,2613,1432,54.80
20,382,DICIND,EQ,4112,2270,55.20
20,383,DISHTV,EQ,11868757,9193047,77.46
20,384,DIVISLAB,EQ,748535,350328,46.80
20,385,DIXON,EQ,430794,212193,49.26
20,386,DLF,EQ,8212537,649980,7.91
20,387,DLINKINDIA,EQ,137496,40969,29.80
20,388,DMART,EQ,652753,328612,50.34
20,389,DNAMEDIA,EQ,87292,77098,88.32
20,390,DOLAT,EQ,1765491,725347,41.08
20,391,DOLLAR,EQ,61917,33715,54.45
20,392,DONEAR,EQ,37295,15386,41.25
20,393,DPABHUSHAN,EQ,2014,1360,67.53
20,394,DPSCLTD,EQ,75915,62028,81.71
